State,Total
California,"168,120"
Texas,"97,140"
Illinois,"31,230"
New York,"24,260"
Florida,"23,060"
North Carolina,"22,450"
Arizona,"22,360"
Georgia,"19,310"
New Jersey,"14,760"
Washington,"14,600"
Colorado,"13,080"
Nevada,"11,460"
Oregon,"8,610"
Virginia,"8,570"
Indiana,"8,280"
Utah,"7,790"
Maryland,"7,200"
Tennessee,"7,120"
Wisconsin,"5,930"
Oklahoma,"5,750"
South Carolina,"5,320"
New Mexico,"5,010"
Massachusetts,"4,950"
Kansas,"4,920"
Michigan,"4,770"
Minnesota,"4,640"
Pennsylvania,"4,150"
Arkansas,"4,090"
Alabama,"3,750"
Ohio,"3,600"
Connecticut,"3,240"
Missouri,"2,760"
Nebraska,"2,660"
Idaho,"2,550"
Kentucky,"2,470"
Iowa,"2,210"
Louisiana,"1,550"
Mississippi,"1,220"
Delaware,"1,220"
Rhode Island,810
District of Columbia,530
Wyoming,450
Hawaii,350
New Hampshire,250
South Dakota,190
North Dakota,130
West Virginia,110
Montana,80
Alaska,70
Maine,60
Vermont,40
